location	Township	range	meridian	rate								
2500905	25	9	5	0,1								
2501004	25	10	4	0,06								
2501104	25	11	4	0,06								
2501204	25	12	4	0,06								
2501304	25	13	4	0,06								
2501404	25	14	4	0,07								
2501504	25	15	4	0,07								
2501604	25	16	4	0,06								
2501704	25	17	4	0,09								
2501804	25	18	4	0,1								
2501904	25	19	4	0,1								
2502004	25	20	4	0,1								
2502104	25	21	4	0,11								
2502204	25	22	4	0,12								
2502304	25	23	4	0,12								
2502404	25	24	4	0,12								
2502504	25	25	4	0,12								
2502604	25	26	4	0,13								
2502703	25	27	3	0,07								
2502704	25	27	4	0,14								
2502803	25	28	3	0,07								
2502804	25	28	4	0,14								
2502903	25	29	3	0,07								
2502904	25	29	4	0,14								
2600104	26	1	4	0,06								
2600105	26	1	5	0,14								
2600204	26	2	4	0,06								
2600205	26	2	5	0,14								
2600304	26	3	4	0,07								
2600305	26	3	5	0,12								
2600404	26	4	4	0,07								
2600405	26	4	5	0,1								
2600504	26	5	4	0,07								
2600505	26	5	5	0,11								
2600604	26	6	4	0,06								
2600605	26	6	5	0,1								
2600704	26	7	4	0,05								
2600705	26	7	5	0,1								
2600804	26	8	4	0,06								
2600805	26	8	5	0,1								
2600904	26	9	4	0,05								
2600905	26	9	5	0,1								
2601004	26	10	4	0,06								
2601104	26	11	4	0,06								
2601204	26	12	4	0,05								
2601304	26	13	4	0,06								
2601404	26	14	4	0,06								
2601504	26	15	4	0,06								
2601604	26	16	4	0,06								
2601704	26	17	4	0,08								
2601804	26	18	4	0,11								
2601904	26	19	4	0,13								
2602004	26	20	4	0,12								
2602104	26	21	4	0,11								
2602204	26	22	4	0,11								
2602304	26	23	4	0,1								
2602404	26	24	4	0,11								
2602504	26	25	4	0,11								
2602604	26	26	4	0,12								
2602703	26	27	3	0,06								
2602704	26	27	4	0,13								
2602803	26	28	3	0,06								
2602804	26	28	4	0,14								
2602903	26	29	3	0,06								
2602904	26	29	4	0,14								
2700104	27	1	4	0,06								
2700105	27	1	5	0,14								
2700204	27	2	4	0,06								
2700205	27	2	5	0,14								
2700304	27	3	4	0,06								
2700305	27	3	5	0,14								
2700404	27	4	4	0,09								
2700405	27	4	5	0,14								
2700504	27	5	4	0,07								
2700505	27	5	5	0,11								
2700604	27	6	4	0,05								
2700605	27	6	5	0,11								
2700704	27	7	4	0,05								
2700705	27	7	5	0,11								
2700804	27	8	4	0,04								
2700805	27	8	5	0,11								
2700904	27	9	4	0,05								
2700905	27	9	5	0,11								
2701004	27	10	4	0,06								
2701104	27	11	4	0,06								
2701204	27	12	4	0,05								
2701304	27	13	4	0,05								
2701404	27	14	4	0,06								
2701504	27	15	4	0,06								
2701604	27	16	4	0,06								
2701704	27	17	4	0,09								
2701804	27	18	4	0,09								
2701904	27	19	4	0,09								
2702004	27	20	4	0,09								
2702104	27	21	4	0,1								
2702204	27	22	4	0,09								
2702304	27	23	4	0,09								
2702404	27	24	4	0,1								
2702504	27	25	4	0,13								
2702604	27	26	4	0,13								
2702703	27	27	3	0,06								
2702704	27	27	4	0,14								
2702803	27	28	3	0,06								
2702804	27	28	4	0,14								
2702903	27	29	3	0,06								
2702904	27	29	4	0,14								
2800104	28	1	4	0,05								
2800105	28	1	5	0,14								
2800204	28	2	4	0,07								
2800205	28	2	5	0,14								
2800304	28	3	4	0,07								
2800305	28	3	5	0,14								
2800404	28	4	4	0,06								
2800405	28	4	5	0,14								
2800504	28	5	4	0,05								
2800505	28	5	5	0,11								
2800604	28	6	4	0,05								
2800605	28	6	5	0,11								
2800704	28	7	4	0,05								
2800705	28	7	5	0,11								
2800804	28	8	4	0,05								
2800805	28	8	5	0,11								
2800904	28	9	4	0,05								
2800905	28	9	5	0,11								
2801004	28	10	4	0,06								
2801005	28	10	5	0,11								
2801104	28	11	4	0,06								
2801204	28	12	4	0,05								
2801304	28	13	4	0,05								
2801404	28	14	4	0,06								
2801504	28	15	4	0,06								
2801604	28	16	4	0,06								
2801704	28	17	4	0,06								
2801804	28	18	4	0,07								
2801904	28	19	4	0,07								
2802004	28	20	4	0,08								
2802104	28	21	4	0,07								
2802204	28	22	4	0,08								
2802304	28	23	4	0,06								
2802404	28	24	4	0,07								
2802504	28	25	4	0,09								
2802604	28	26	4	0,1								
2802703	28	27	3	0,05								
2802704	28	27	4	0,13								
2802803	28	28	3	0,05								
2802804	28	28	4	0,14								
2802903	28	29	3	0,05								
2802904	28	29	4	0,14								
2900104	29	1	4	0,07								
2900105	29	1	5	0,14								
2900204	29	2	4	0,08								
2900205	29	2	5	0,14								
2900304	29	3	4	0,07								
2900305	29	3	5	0,14								
2900404	29	4	4	0,06								
2900405	29	4	5	0,14								
2900504	29	5	4	0,06								
2900505	29	5	5	0,12								
2900604	29	6	4	0,06								
2900605	29	6	5	0,11								
2900704	29	7	4	0,06								
2900705	29	7	5	0,11								
2900804	29	8	4	0,06								
2900805	29	8	5	0,11								
2900904	29	9	4	0,06								
2900905	29	9	5	0,11								
2901004	29	10	4	0,06								
2901005	29	10	5	0,11								
2901104	29	11	4	0,07								
2901204	29	12	4	0,06								
2901304	29	13	4	0,06								
2901404	29	14	4	0,06								
2901504	29	15	4	0,05								
2901604	29	16	4	0,05								
2901704	29	17	4	0,05								
2901804	29	18	4	0,05								
2901904	29	19	4	0,05								
2902004	29	20	4	0,06								
2902104	29	21	4	0,07								
2902204	29	22	4	0,06								
2902304	29	23	4	0,06								
2902404	29	24	4	0,06								
2902504	29	25	4	0,07								
2902604	29	26	4	0,08								
2902703	29	27	3	0,07								
2902704	29	27	4	0,09								
2902803	29	28	3	0,07								
2902804	29	28	4	0,1								
2902903	29	29	3	0,07								
2902904	29	29	4	0,14								
3000104	30	1	4	0,09								
3000105	30	1	5	0,12								
3000204	30	2	4	0,09								
3000205	30	2	5	0,13								
3000304	30	3	4	0,1								
3000305	30	3	5	0,13								
3000404	30	4	4	0,08								
3000405	30	4	5	0,12								
3000504	30	5	4	0,08								
3000505	30	5	5	0,1								
3000604	30	6	4	0,08								
3000605	30	6	5	0,11								
3000704	30	7	4	0,08								
3000705	30	7	5	0,11								
3000804	30	8	4	0,08								
3000805	30	8	5	0,11								
3000904	30	9	4	0,06								
3000905	30	9	5	0,11								
3001004	30	10	4	0,07								
3001005	30	10	5	0,11								
3001104	30	11	4	0,07								
3001204	30	12	4	0,07								
3001304	30	13	4	0,06								
3001404	30	14	4	0,06								
3001504	30	15	4	0,06								
3001604	30	16	4	0,06								
3001704	30	17	4	0,05								
3001804	30	18	4	0,05								
3001904	30	19	4	0,05								
3002004	30	20	4	0,05								
3002104	30	21	4	0,06								
3002204	30	22	4	0,07								
3002304	30	23	4	0,07								
3002404	30	24	4	0,07								
3002504	30	25	4	0,08								
3002604	30	26	4	0,07								
3002703	30	27	3	0,09								
3002704	30	27	4	0,07								
3002803	30	28	3	0,09								
3002804	30	28	4	0,08								
3002903	30	29	3	0,09								
3002904	30	29	4	0,1								
3100104	31	1	4	0,08								
3100105	31	1	5	0,1								
3100204	31	2	4	0,08								
3100205	31	2	5	0,13								
3100304	31	3	4	0,08								
3100305	31	3	5	0,14								
3100404	31	4	4	0,09								
3100405	31	4	5	0,13								
3100504	31	5	4	0,09								
3100505	31	5	5	0,1								
3100604	31	6	4	0,08								
3100605	31	6	5	0,1								
3100704	31	7	4	0,09								
3100705	31	7	5	0,1								
3100804	31	8	4	0,08								
3100805	31	8	5	0,1								
3100904	31	9	4	0,07								
3100905	31	9	5	0,1								
3101004	31	10	4	0,07								
3101005	31	10	5	0,1								
3101104	31	11	4	0,07								
3101204	31	12	4	0,07								
3101304	31	13	4	0,06								
3101404	31	14	4	0,06								
3101504	31	15	4	0,05								
3101604	31	16	4	0,05								
3101704	31	17	4	0,04								
3101804	31	18	4	0,05								
3101904	31	19	4	0,05								
3102004	31	20	4	0,05								
3102104	31	21	4	0,06								
3102204	31	22	4	0,07								
3102304	31	23	4	0,07								
3102404	31	24	4	0,08								
3102504	31	25	4	0,09								
3102604	31	26	4	0,09								
3102703	31	27	3	0,08								
3102704	31	27	4	0,09								
3102803	31	28	3	0,08								
3102804	31	28	4	0,09								
3102903	31	29	3	0,08								
3102904	31	29	4	0,1								
3200104	32	1	4	0,09								
3200105	32	1	5	0,11								
3200204	32	2	4	0,08								
3200205	32	2	5	0,12								
3200304	32	3	4	0,08								
3200305	32	3	5	0,14								
3200404	32	4	4	0,08								
3200405	32	4	5	0,14								
3200504	32	5	4	0,07								
3200505	32	5	5	0,1								
3200604	32	6	4	0,08								
3200605	32	6	5	0,1								
3200704	32	7	4	0,08								
3200705	32	7	5	0,1								
3200804	32	8	4	0,08								
3200805	32	8	5	0,1								
3200904	32	9	4	0,06								
3200905	32	9	5	0,1								
3201004	32	10	4	0,06								
3201005	32	10	5	0,1								
3201104	32	11	4	0,06								
3201105	32	11	5	0,1								
3201204	32	12	4	0,06								
3201304	32	13	4	0,06								
3201404	32	14	4	0,05								
3201504	32	15	4	0,04								
3201604	32	16	4	0,04								
3201704	32	17	4	0,04								
3201804	32	18	4	0,05								
3201904	32	19	4	0,06								
3202004	32	20	4	0,06								
3202104	32	21	4	0,06								
3202204	32	22	4	0,07								
3202304	32	23	4	0,07								
3202404	32	24	4	0,08								
3202504	32	25	4	0,08								
3202604	32	26	4	0,08								
3202703	32	27	3	0,09								
3202704	32	27	4	0,09								
3202803	32	28	3	0,09								
3202804	32	28	4	0,1								
3202903	32	29	3	0,09								
3202904	32	29	4	0,1								
3300104	33	1	4	0,08								
3300105	33	1	5	0,1								
3300204	33	2	4	0,09								
3300205	33	2	5	0,1								
3300304	33	3	4	0,08								
3300305	33	3	5	0,11								
3300404	33	4	4	0,06								
3300405	33	4	5	0,13								
3300504	33	5	4	0,07								
3300505	33	5	5	0,11								
3300604	33	6	4	0,08								
3300605	33	6	5	0,1								
3300704	33	7	4	0,08								
3300705	33	7	5	0,1								
3300804	33	8	4	0,06								
3300805	33	8	5	0,1								
3300904	33	9	4	0,06								
3300905	33	9	5	0,1								
3301004	33	10	4	0,06								
3301005	33	10	5	0,1								
3301104	33	11	4	0,06								
3301105	33	11	5	0,1								
3301204	33	12	4	0,05								
3301205	33	12	5	0,1								
3301304	33	13	4	0,05								
3301404	33	14	4	0,05								
3301504	33	15	4	0,05								
3301604	33	16	4	0,05								
3301704	33	17	4	0,05								
3301804	33	18	4	0,05								
3301904	33	19	4	0,06								
3302004	33	20	4	0,07								
3302104	33	21	4	0,07								
3302204	33	22	4	0,08								
3302304	33	23	4	0,08								
3302404	33	24	4	0,08								
3302504	33	25	4	0,08								
3302604	33	26	4	0,09								
3302703	33	27	3	0,08								
3302704	33	27	4	0,09								
3302803	33	28	3	0,08								
3302804	33	28	4	0,09								
3302903	33	29	3	0,08								
3302904	33	29	4	0,09								
3400104	34	1	4	0,07								
3400105	34	1	5	0,1								
3400204	34	2	4	0,07								
3400205	34	2	5	0,09								
3400304	34	3	4	0,07								
3400305	34	3	5	0,1								
3400404	34	4	4	0,07								
3400405	34	4	5	0,1								
3400504	34	5	4	0,08								
3400505	34	5	5	0,1								
3400604	34	6	4	0,07								
3400605	34	6	5	0,1								
3400704	34	7	4	0,06								
3400705	34	7	5	0,1								
3400804	34	8	4	0,05								
3400805	34	8	5	0,09								
3400904	34	9	4	0,05								
3400905	34	9	5	0,09								
3401004	34	10	4	0,06								
3401005	34	10	5	0,09								
3401104	34	11	4	0,06								
3401105	34	11	5	0,09								
3401204	34	12	4	0,06								
3401205	34	12	5	0,09								
3401304	34	13	4	0,05								
3401404	34	14	4	0,05								
3401504	34	15	4	0,06								
3401604	34	16	4	0,06								
3401704	34	17	4	0,07								
3401804	34	18	4	0,06								
3401904	34	19	4	0,07								
3402004	34	20	4	0,06								
3402104	34	21	4	0,06								
3402204	34	22	4	0,07								
3402304	34	23	4	0,08								
3402404	34	24	4	0,09								
3402504	34	25	4	0,08								
3402604	34	26	4	0,09								
3402703	34	27	3	0,07								
3402704	34	27	4	0,09								
3402803	34	28	3	0,07								
3402804	34	28	4	0,09								
3402903	34	29	3	0,07								
3402904	34	29	4	0,09								
3500104	35	1	4	0,06								
3500105	35	1	5	0,1								
3500204	35	2	4	0,07								
3500205	35	2	5	0,1								
3500304	35	3	4	0,08								
3500305	35	3	5	0,11								
3500404	35	4	4	0,08								
3500405	35	4	5	0,1								
3500504	35	5	4	0,08								
3500505	35	5	5	0,08								
3500604	35	6	4	0,06								
3500605	35	6	5	0,09								
3500704	35	7	4	0,06								
3500705	35	7	5	0,09								
3500804	35	8	4	0,06								
3500805	35	8	5	0,09								
3500904	35	9	4	0,06								
3500905	35	9	5	0,09								
3501004	35	10	4	0,06								
3501005	35	10	5	0,09								
3501104	35	11	4	0,05								
3501105	35	11	5	0,09								
3501204	35	12	4	0,06								
3501205	35	12	5	0,09								
3501304	35	13	4	0,06								
3501404	35	14	4	0,06								
3501504	35	15	4	0,06								
3501604	35	16	4	0,07								
3501704	35	17	4	0,07								
3501804	35	18	4	0,06								
3501904	35	19	4	0,05								
3502004	35	20	4	0,06								
3502104	35	21	4	0,06								
3502204	35	22	4	0,07								
3502304	35	23	4	0,07								
3502404	35	24	4	0,06								
3502504	35	25	4	0,07								
3502603	35	26	3	0,06								
3502604	35	26	4	0,08								
3502703	35	27	3	0,06								
3502704	35	27	4	0,1								
3502803	35	28	3	0,06								
3502804	35	28	4	0,1								
3600104	36	1	4	0,06								
3600105	36	1	5	0,13								
3600204	36	2	4	0,07								
3600205	36	2	5	0,13								
3600304	36	3	4	0,08								
3600305	36	3	5	0,13								
3600404	36	4	4	0,08								
3600405	36	4	5	0,11								
3600504	36	5	4	0,07								
3600505	36	5	5	0,08								
3600604	36	6	4	0,07								
3600605	36	6	5	0,08								
3600704	36	7	4	0,07								
3600705	36	7	5	0,08								
3600804	36	8	4	0,09								
3600805	36	8	5	0,08								
3600904	36	9	4	0,06								
3600905	36	9	5	0,08								
3601004	36	10	4	0,06								
3601005	36	10	5	0,09								
3601104	36	11	4	0,05								
3601105	36	11	5	0,09								
3601204	36	12	4	0,05								
3601205	36	12	5	0,09								
3601304	36	13	4	0,06								
3601404	36	14	4	0,07								
3601504	36	15	4	0,07								
3601604	36	16	4	0,06								
3601704	36	17	4	0,06								
3601804	36	18	4	0,05								
3601904	36	19	4	0,05								
3602004	36	20	4	0,05								
3602104	36	21	4	0,06								
3602204	36	22	4	0,07								
3602304	36	23	4	0,06								
3602404	36	24	4	0,05								
3602504	36	25	4	0,07								
3602603	36	26	3	0,06								
3602604	36	26	4	0,07								
3602703	36	27	3	0,06								
3602704	36	27	4	0,09								
3602803	36	28	3	0,06								
3602804	36	28	4	0,1								
3602903	36	29	3	0,06								
3700104	37	1	4	0,09								
3700105	37	1	5	0,1								
3700204	37	2	4	0,08								
3700205	37	2	5	0,11								
3700304	37	3	4	0,08								
3700305	37	3	5	0,11								
3700404	37	4	4	0,08								
3700405	37	4	5	0,11								
3700504	37	5	4	0,07								
3700505	37	5	5	0,09								
3700604	37	6	4	0,07								
3700605	37	6	5	0,08								
3700704	37	7	4	0,08								
3700705	37	7	5	0,08								
3700804	37	8	4	0,07								
3700805	37	8	5	0,08								
3700904	37	9	4	0,08								
3700905	37	9	5	0,08								
3701004	37	10	4	0,07								
3701005	37	10	5	0,08								
3701104	37	11	4	0,07								
3701105	37	11	5	0,09								
3701204	37	12	4	0,06								
3701205	37	12	5	0,09								
3701304	37	13	4	0,06								
3701404	37	14	4	0,06								
3701504	37	15	4	0,06								
3701604	37	16	4	0,06								
3701704	37	17	4	0,06								
3701804	37	18	4	0,08								
3701904	37	19	4	0,07								
3702004	37	20	4	0,07								
3702104	37	21	4	0,06								
3702204	37	22	4	0,06								
3702304	37	23	4	0,07								
3702404	37	24	4	0,06								
3702504	37	25	4	0,07								
3702603	37	26	3	0,09								
3702604	37	26	4	0,08								
3702703	37	27	3	0,09								
3702704	37	27	4	0,09								
3702803	37	28	3	0,09								
3702804	37	28	4	0,09								
3702903	37	29	3	0,09								
3800104	38	1	4	0,1								
3800105	38	1	5	0,07								
3800204	38	2	4	0,09								
3800205	38	2	5	0,08								
3800304	38	3	4	0,09								
3800305	38	3	5	0,1								
3800404	38	4	4	0,09								
3800405	38	4	5	0,11								
3800504	38	5	4	0,07								
3800505	38	5	5	0,09								
3800604	38	6	4	0,07								
3800605	38	6	5	0,08								
3800704	38	7	4	0,08								
3800705	38	7	5	0,08								
3800804	38	8	4	0,08								
3800805	38	8	5	0,08								
3800904	38	9	4	0,07								
3800905	38	9	5	0,09								
3801004	38	10	4	0,08								
3801005	38	10	5	0,09								
3801104	38	11	4	0,08								
3801105	38	11	5	0,09								
3801204	38	12	4	0,07								
3801205	38	12	5	0,09								
3801304	38	13	4	0,06								
3801404	38	14	4	0,05								
3801504	38	15	4	0,05								
3801604	38	16	4	0,06								
3801704	38	17	4	0,07								
3801804	38	18	4	0,08								
3801904	38	19	4	0,09								
3802004	38	20	4	0,08								
3802104	38	21	4	0,07								
3802204	38	22	4	0,05								
3802304	38	23	4	0,06								
3802404	38	24	4	0,07								
3802504	38	25	4	0,07								
3802603	38	26	3	0,1								
3802604	38	26	4	0,08								
3802703	38	27	3	0,1								
3802704	38	27	4	0,07								
3802803	38	28	3	0,1								
3802804	38	28	4	0,08								
3900104	39	1	4	0,09								
3900105	39	1	5	0,08								
3900204	39	2	4	0,08								
3900205	39	2	5	0,08								
3900304	39	3	4	0,08								
3900305	39	3	5	0,09								
3900404	39	4	4	0,08								
3900405	39	4	5	0,1								
3900504	39	5	4	0,07								
3900505	39	5	5	0,1								
3900604	39	6	4	0,06								
3900605	39	6	5	0,09								
3900704	39	7	4	0,07								
3900705	39	7	5	0,09								
3900804	39	8	4	0,07								
3900805	39	8	5	0,09								
3900904	39	9	4	0,06								
3900905	39	9	5	0,09								
3901004	39	10	4	0,06								
3901005	39	10	5	0,09								
3901104	39	11	4	0,06								
3901105	39	11	5	0,09								
3901204	39	12	4	0,06								
3901205	39	12	5	0,09								
3901304	39	13	4	0,06								
3901404	39	14	4	0,06								
3901504	39	15	4	0,06								
3901604	39	16	4	0,06								
3901704	39	17	4	0,07								
3901804	39	18	4	0,06								
3901904	39	19	4	0,06								
3902004	39	20	4	0,07								
3902104	39	21	4	0,07								
3902204	39	22	4	0,07								
3902304	39	23	4	0,06								
3902404	39	24	4	0,06								
3902504	39	25	4	0,08								
3902603	39	26	3	0,09								
3902604	39	26	4	0,07								
3902703	39	27	3	0,09								
3902704	39	27	4	0,07								
3902803	39	28	3	0,09								
3902804	39	28	4	0,08								
4000104	40	1	4	0,07								
4000105	40	1	5	0,09								
4000204	40	2	4	0,09								
4000205	40	2	5	0,1								
4000304	40	3	4	0,09								
4000305	40	3	5	0,1								
4000404	40	4	4	0,08								
4000405	40	4	5	0,1								
4000504	40	5	4	0,06								
4000505	40	5	5	0,11								
4000604	40	6	4	0,06								
4000605	40	6	5	0,1								
4000704	40	7	4	0,06								
4000705	40	7	5	0,09								
4000804	40	8	4	0,06								
4000805	40	8	5	0,09								
4000904	40	9	4	0,06								
4000905	40	9	5	0,09								
4001004	40	10	4	0,05								
4001005	40	10	5	0,09								
4001104	40	11	4	0,06								
4001105	40	11	5	0,09								
4001204	40	12	4	0,05								
4001205	40	12	5	0,09								
4001304	40	13	4	0,06								
4001404	40	14	4	0,06								
4001504	40	15	4	0,06								
4001604	40	16	4	0,07								
4001704	40	17	4	0,06								
4001804	40	18	4	0,05								
4001904	40	19	4	0,05								
4002004	40	20	4	0,06								
4002104	40	21	4	0,06								
4002204	40	22	4	0,07								
4002304	40	23	4	0,06								
4002404	40	24	4	0,06								
4002504	40	25	4	0,07								
4002603	40	26	3	0,07								
4002604	40	26	4	0,08								
4002703	40	27	3	0,07								
4002704	40	27	4	0,08								
4002803	40	28	3	0,07								
4002804	40	28	4	0,08								
4100104	41	1	4	0,07								
4100105	41	1	5	0,09								
4100204	41	2	4	0,07								
4100205	41	2	5	0,11								
4100304	41	3	4	0,07								
4100305	41	3	5	0,1								
4100404	41	4	4	0,07								
4100405	41	4	5	0,09								
4100504	41	5	4	0,06								
4100505	41	5	5	0,08								
4100604	41	6	4	0,04								
4100605	41	6	5	0,08								
4100704	41	7	4	0,04								
4100705	41	7	5	0,09								
4100804	41	8	4	0,05								
4100805	41	8	5	0,09								
4100904	41	9	4	0,06								
4100905	41	9	5	0,09								
4101004	41	10	4	0,05								
4101005	41	10	5	0,08								
4101104	41	11	4	0,06								
4101105	41	11	5	0,08								
4101204	41	12	4	0,06								
4101205	41	12	5	0,08								
4101304	41	13	4	0,06								
4101404	41	14	4	0,07								
4101504	41	15	4	0,06								
4101604	41	16	4	0,06								
4101704	41	17	4	0,06								
4101804	41	18	4	0,05								
4101904	41	19	4	0,05								
4102004	41	20	4	0,05								
4102104	41	21	4	0,06								
4102204	41	22	4	0,05								
4102304	41	23	4	0,05								
4102404	41	24	4	0,06								
4102504	41	25	4	0,06								
4102603	41	26	3	0,07								
4102604	41	26	4	0,07								
4102703	41	27	3	0,07								
4102704	41	27	4	0,08								
4102803	41	28	3	0,07								
4102804	41	28	4	0,08								
4200104	42	1	4	0,06								
4200105	42	1	5	0,08								
4200204	42	2	4	0,05								
4200205	42	2	5	0,07								
4200304	42	3	4	0,06								
4200305	42	3	5	0,07								
4200404	42	4	4	0,06								
4200405	42	4	5	0,08								
4200504	42	5	4	0,06								
4200505	42	5	5	0,07								
4200604	42	6	4	0,04								
4200605	42	6	5	0,08								
4200704	42	7	4	0,04								
4200705	42	7	5	0,08								
4200804	42	8	4	0,05								
4200805	42	8	5	0,08								
4200904	42	9	4	0,05								
4200905	42	9	5	0,08								
4201004	42	10	4	0,06								
4201005	42	10	5	0,08								
4201104	42	11	4	0,05								
4201105	42	11	5	0,08								
4201204	42	12	4	0,05								
4201205	42	12	5	0,08								
4201304	42	13	4	0,07								
4201404	42	14	4	0,08								
4201504	42	15	4	0,07								
4201604	42	16	4	0,06								
4201704	42	17	4	0,05								
4201804	42	18	4	0,05								
4201904	42	19	4	0,05								
4202004	42	20	4	0,06								
4202104	42	21	4	0,06								
4202204	42	22	4	0,07								
4202304	42	23	4	0,06								
4202404	42	24	4	0,06								
4202504	42	25	4	0,06								
4202603	42	26	3	0,06								
4202604	42	26	4	0,07								
4202703	42	27	3	0,06								
4202704	42	27	4	0,08								
4202803	42	28	3	0,06								
4202804	42	28	4	0,09								
4300104	43	1	4	0,05								
4300105	43	1	5	0,07								
4300204	43	2	4	0,04								
4300205	43	2	5	0,06								
4300304	43	3	4	0,05								
4300305	43	3	5	0,06								
4300404	43	4	4	0,04								
4300405	43	4	5	0,07								
4300504	43	5	4	0,05								
4300505	43	5	5	0,07								
4300604	43	6	4	0,06								
4300605	43	6	5	0,07								
4300704	43	7	4	0,06								
4300705	43	7	5	0,08								
4300804	43	8	4	0,05								
4300805	43	8	5	0,08								
4300904	43	9	4	0,04								
4300905	43	9	5	0,08								
4301004	43	10	4	0,04								
4301005	43	10	5	0,08								
4301104	43	11	4	0,05								
4301105	43	11	5	0,08								
4301204	43	12	4	0,05								
4301205	43	12	5	0,08								
4301304	43	13	4	0,06								
4301404	43	14	4	0,06								
4301504	43	15	4	0,06								
4301604	43	16	4	0,05								
4301704	43	17	4	0,06								
4301804	43	18	4	0,06								
4301904	43	19	4	0,06								
4302004	43	20	4	0,06								
4302104	43	21	4	0,07								
4302204	43	22	4	0,09								
4302304	43	23	4	0,08								
4302404	43	24	4	0,08								
4302504	43	25	4	0,08								
4302603	43	26	3	0,05								
4302604	43	26	4	0,08								
4302703	43	27	3	0,05								
4302704	43	27	4	0,08								
4302803	43	28	3	0,05								
4302804	43	28	4	0,08								
4400104	44	1	4	0,05								
4400105	44	1	5	0,07								
4400204	44	2	4	0,04								
4400205	44	2	5	0,08								
4400304	44	3	4	0,04								
4400305	44	3	5	0,08								
4400404	44	4	4	0,04								
4400405	44	4	5	0,07								
4400504	44	5	4	0,05								
4400505	44	5	5	0,07								
4400604	44	6	4	0,05								
4400605	44	6	5	0,07								
4400704	44	7	4	0,05								
4400705	44	7	5	0,07								
4400804	44	8	4	0,05								
4400805	44	8	5	0,07								
4400904	44	9	4	0,03								
4400905	44	9	5	0,07								
4401004	44	10	4	0,04								
4401005	44	10	5	0,07								
4401104	44	11	4	0,04								
4401105	44	11	5	0,07								
4401204	44	12	4	0,05								
4401205	44	12	5	0,07								
4401304	44	13	4	0,06								
4401305	44	13	5	0,07								
4401404	44	14	4	0,06								
4401504	44	15	4	0,06								
4401604	44	16	4	0,06								
4401704	44	17	4	0,07								
4401804	44	18	4	0,07								
4401904	44	19	4	0,06								
4402004	44	20	4	0,06								
4402104	44	21	4	0,07								
4402204	44	22	4	0,06								
4402304	44	23	4	0,07								
4402404	44	24	4	0,06								
4402504	44	25	4	0,06								
4402603	44	26	3	0,05								
4402604	44	26	4	0,07								
4402703	44	27	3	0,05								
4402704	44	27	4	0,08								
4402803	44	28	3	0,05								
4402804	44	28	4	0,08								
4500104	45	1	4	0,05								
4500105	45	1	5	0,07								
4500204	45	2	4	0,05								
4500205	45	2	5	0,07								
4500304	45	3	4	0,05								
4500305	45	3	5	0,07								
4500404	45	4	4	0,06								
4500405	45	4	5	0,07								
4500504	45	5	4	0,05								
4500505	45	5	5	0,07								
4500604	45	6	4	0,04								
4500605	45	6	5	0,07								
4500704	45	7	4	0,05								
4500705	45	7	5	0,07								
4500804	45	8	4	0,04								
4500805	45	8	5	0,07								
4500904	45	9	4	0,04								
4500905	45	9	5	0,07								
4501004	45	10	4	0,04								
4501005	45	10	5	0,07								
4501104	45	11	4	0,05								
4501105	45	11	5	0,07								
4501204	45	12	4	0,05								
4501205	45	12	5	0,07								
4501304	45	13	4	0,06								
4501305	45	13	5	0,07								
4501404	45	14	4	0,06								
4501504	45	15	4	0,06								
4501604	45	16	4	0,05								
4501704	45	17	4	0,06								
4501804	45	18	4	0,06								
4501904	45	19	4	0,06								
4502004	45	20	4	0,06								
4502104	45	21	4	0,06								
4502204	45	22	4	0,06								
4502304	45	23	4	0,06								
4502404	45	24	4	0,06								
4502504	45	25	4	0,07								
4502603	45	26	3	0,05								
4502604	45	26	4	0,07								
4502703	45	27	3	0,05								
4502704	45	27	4	0,07								
4502803	45	28	3	0,05								
4502804	45	28	4	0,07								
4600104	46	1	4	0,06								
4600105	46	1	5	0,06								
4600204	46	2	4	0,06								
4600205	46	2	5	0,07								
4600304	46	3	4	0,09								
4600305	46	3	5	0,07								
4600404	46	4	4	0,07								
4600405	46	4	5	0,07								
4600504	46	5	4	0,05								
4600505	46	5	5	0,07								
4600604	46	6	4	0,05								
4600605	46	6	5	0,07								
4600704	46	7	4	0,05								
4600705	46	7	5	0,07								
4600804	46	8	4	0,05								
4600805	46	8	5	0,07								
4600904	46	9	4	0,06								
4600905	46	9	5	0,07								
4601004	46	10	4	0,05								
4601005	46	10	5	0,07								
4601104	46	11	4	0,06								
4601105	46	11	5	0,06								
4601204	46	12	4	0,08								
4601205	46	12	5	0,06								
4601304	46	13	4	0,08								
4601305	46	13	5	0,06								
4601404	46	14	4	0,07								
4601504	46	15	4	0,06								
4601604	46	16	4	0,05								
4601704	46	17	4	0,05								
4601804	46	18	4	0,06								
4601904	46	19	4	0,05								
4602004	46	20	4	0,06								
4602104	46	21	4	0,05								
4602204	46	22	4	0,06								
4602304	46	23	4	0,06								
4602404	46	24	4	0,07								
4602504	46	25	4	0,08								
4602603	46	26	3	0,06								
4602604	46	26	4	0,08								
4602703	46	27	3	0,06								
4602704	46	27	4	0,06								
4602803	46	28	3	0,06								
4602804	46	28	4	0,06								
4700104	47	1	4	0,05								
4700105	47	1	5	0,06								
4700204	47	2	4	0,07								
4700205	47	2	5	0,06								
4700304	47	3	4	0,07								
4700305	47	3	5	0,06								
