location	Township	range	meridian	rate								
700405	7	4	5	0,06								
700504	7	5	4	0,05								
700505	7	5	5	0,06								
700604	7	6	4	0,03								
700605	7	6	5	0,06								
700704	7	7	4	0,04								
700804	7	8	4	0,04								
700904	7	9	4	0,05								
701004	7	10	4	0,05								
701104	7	11	4	0,05								
701204	7	12	4	0,05								
701304	7	13	4	0,06								
701404	7	14	4	0,06								
701504	7	15	4	0,07								
701604	7	16	4	0,06								
701704	7	17	4	0,06								
701804	7	18	4	0,07								
701904	7	19	4	0,06								
702004	7	20	4	0,06								
702104	7	21	4	0,07								
702204	7	22	4	0,05								
702304	7	23	4	0,05								
702404	7	24	4	0,05								
702504	7	25	4	0,04								
702604	7	26	4	0,04								
702704	7	27	4	0,04								
702803	7	28	3	0,07								
702804	7	28	4	0,05								
702903	7	29	3	0,07								
702904	7	29	4	0,06								
703003	7	30	3	0,07								
703004	7	30	4	0,06								
800104	8	1	4	0,07								
800105	8	1	5	0,05								
800204	8	2	4	0,07								
800205	8	2	5	0,06								
800304	8	3	4	0,07								
800305	8	3	5	0,07								
800404	8	4	4	0,06								
800405	8	4	5	0,06								
800504	8	5	4	0,05								
800505	8	5	5	0,06								
800604	8	6	4	0,04								
800605	8	6	5	0,06								
800704	8	7	4	0,04								
800804	8	8	4	0,05								
800904	8	9	4	0,05								
801004	8	10	4	0,04								
801104	8	11	4	0,05								
801204	8	12	4	0,06								
801304	8	13	4	0,05								
801404	8	14	4	0,05								
801504	8	15	4	0,06								
801604	8	16	4	0,06								
801704	8	17	4	0,06								
801804	8	18	4	0,07								
801904	8	19	4	0,06								
802004	8	20	4	0,06								
802104	8	21	4	0,05								
802204	8	22	4	0,05								
802304	8	23	4	0,07								
802404	8	24	4	0,06								
802504	8	25	4	0,05								
802604	8	26	4	0,05								
802704	8	27	4	0,06								
802803	8	28	3	0,07								
802804	8	28	4	0,06								
802903	8	29	3	0,07								
802904	8	29	4	0,07								
803003	8	30	3	0,07								
803004	8	30	4	0,06								
900104	9	1	4	0,09								
900105	9	1	5	0,06								
900204	9	2	4	0,08								
900205	9	2	5	0,07								
900304	9	3	4	0,07								
900305	9	3	5	0,07								
900404	9	4	4	0,06								
900405	9	4	5	0,07								
900504	9	5	4	0,05								
900505	9	5	5	0,07								
900604	9	6	4	0,06								
900704	9	7	4	0,05								
900804	9	8	4	0,04								
900904	9	9	4	0,04								
901004	9	10	4	0,04								
901104	9	11	4	0,05								
901204	9	12	4	0,06								
901304	9	13	4	0,07								
901404	9	14	4	0,07								
901504	9	15	4	0,07								
901604	9	16	4	0,06								
901704	9	17	4	0,07								
901804	9	18	4	0,06								
901904	9	19	4	0,06								
902004	9	20	4	0,06								
902104	9	21	4	0,05								
902204	9	22	4	0,04								
902304	9	23	4	0,06								
902404	9	24	4	0,07								
902504	9	25	4	0,06								
902604	9	26	4	0,05								
902704	9	27	4	0,06								
902803	9	28	3	0,09								
902804	9	28	4	0,06								
902903	9	29	3	0,09								
902904	9	29	4	0,06								
903003	9	30	3	0,09								
903004	9	30	4	0,06								
1000104	10	1	4	0,08								
1000105	10	1	5	0,07								
1000204	10	2	4	0,08								
1000205	10	2	5	0,07								
1000304	10	3	4	0,07								
1000305	10	3	5	0,07								
1000404	10	4	4	0,06								
1000405	10	4	5	0,07								
1000504	10	5	4	0,06								
1000505	10	5	5	0,07								
1000604	10	6	4	0,06								
1000704	10	7	4	0,06								
1000804	10	8	4	0,06								
1000904	10	9	4	0,06								
1001004	10	10	4	0,06								
1001104	10	11	4	0,06								
1001204	10	12	4	0,06								
1001304	10	13	4	0,08								
1001404	10	14	4	0,09								
1001504	10	15	4	0,08								
1001604	10	16	4	0,07								
1001704	10	17	4	0,07								
1001804	10	18	4	0,09								
1001904	10	19	4	0,07								
1002004	10	20	4	0,06								
1002104	10	21	4	0,05								
1002204	10	22	4	0,04								
1002304	10	23	4	0,04								
1002404	10	24	4	0,05								
1002504	10	25	4	0,05								
1002604	10	26	4	0,05								
1002704	10	27	4	0,06								
1002803	10	28	3	0,08								
1002804	10	28	4	0,06								
1002903	10	29	3	0,08								
1002904	10	29	4	0,06								
1003003	10	30	3	0,08								
1003004	10	30	4	0,06								
1100104	11	1	4	0,08								
1100105	11	1	5	0,06								
1100204	11	2	4	0,08								
1100205	11	2	5	0,07								
1100304	11	3	4	0,08								
1100305	11	3	5	0,07								
1100404	11	4	4	0,06								
1100405	11	4	5	0,07								
1100504	11	5	4	0,06								
1100505	11	5	5	0,07								
1100604	11	6	4	0,06								
1100605	11	6	5	0,07								
1100704	11	7	4	0,06								
1100804	11	8	4	0,06								
1100904	11	9	4	0,06								
1101004	11	10	4	0,07								
1101104	11	11	4	0,08								
1101204	11	12	4	0,07								
1101304	11	13	4	0,07								
1101404	11	14	4	0,08								
1101504	11	15	4	0,09								
1101604	11	16	4	0,08								
1101704	11	17	4	0,06								
1101804	11	18	4	0,06								
1101904	11	19	4	0,07								
1102004	11	20	4	0,07								
1102104	11	21	4	0,06								
1102204	11	22	4	0,05								
1102304	11	23	4	0,05								
1102404	11	24	4	0,05								
1102504	11	25	4	0,05								
1102604	11	26	4	0,04								
1102704	11	27	4	0,05								
1102803	11	28	3	0,08								
1102804	11	28	4	0,06								
1102903	11	29	3	0,08								
1102904	11	29	4	0,06								
1103003	11	30	3	0,08								
1103004	11	30	4	0,06								
1200104	12	1	4	0,07								
1200105	12	1	5	0,06								
1200204	12	2	4	0,06								
1200205	12	2	5	0,06								
1200304	12	3	4	0,06								
1200305	12	3	5	0,07								
1200404	12	4	4	0,06								
1200405	12	4	5	0,07								
1200504	12	5	4	0,06								
1200505	12	5	5	0,07								
1200604	12	6	4	0,06								
1200704	12	7	4	0,07								
1200804	12	8	4	0,06								
1200904	12	9	4	0,08								
1201004	12	10	4	0,08								
1201104	12	11	4	0,09								
1201204	12	12	4	0,07								
1201304	12	13	4	0,06								
1201404	12	14	4	0,06								
1201504	12	15	4	0,06								
